FIPS,Admin2,Province_State,Population,name,value
40003,Alfalfa,Oklahoma,5702,1/22/20,0
40003,Alfalfa,Oklahoma,5702,1/23/20,0
40003,Alfalfa,Oklahoma,5702,1/24/20,0
40003,Alfalfa,Oklahoma,5702,1/25/20,0
40003,Alfalfa,Oklahoma,5702,1/26/20,0
40003,Alfalfa,Oklahoma,5702,1/27/20,0
40003,Alfalfa,Oklahoma,5702,1/28/20,0
40003,Alfalfa,Oklahoma,5702,1/29/20,0
40003,Alfalfa,Oklahoma,5702,1/30/20,0
40003,Alfalfa,Oklahoma,5702,1/31/20,0
40003,Alfalfa,Oklahoma,5702,2/1/20,0
40003,Alfalfa,Oklahoma,5702,2/2/20,0
40003,Alfalfa,Oklahoma,5702,2/3/20,0
40003,Alfalfa,Oklahoma,5702,2/4/20,0
40003,Alfalfa,Oklahoma,5702,2/5/20,0
40003,Alfalfa,Oklahoma,5702,2/6/20,0
40003,Alfalfa,Oklahoma,5702,2/7/20,0
40003,Alfalfa,Oklahoma,5702,2/8/20,0
40003,Alfalfa,Oklahoma,5702,2/9/20,0
40003,Alfalfa,Oklahoma,5702,2/10/20,0
40003,Alfalfa,Oklahoma,5702,2/11/20,0
40003,Alfalfa,Oklahoma,5702,2/12/20,0
40003,Alfalfa,Oklahoma,5702,2/13/20,0
40003,Alfalfa,Oklahoma,5702,2/14/20,0
40003,Alfalfa,Oklahoma,5702,2/15/20,0
40003,Alfalfa,Oklahoma,5702,2/16/20,0
40003,Alfalfa,Oklahoma,5702,2/17/20,0
40003,Alfalfa,Oklahoma,5702,2/18/20,0
40003,Alfalfa,Oklahoma,5702,2/19/20,0
40003,Alfalfa,Oklahoma,5702,2/20/20,0
40003,Alfalfa,Oklahoma,5702,2/21/20,0
40003,Alfalfa,Oklahoma,5702,2/22/20,0
40003,Alfalfa,Oklahoma,5702,2/23/20,0
40003,Alfalfa,Oklahoma,5702,2/24/20,0
40003,Alfalfa,Oklahoma,5702,2/25/20,0
40003,Alfalfa,Oklahoma,5702,2/26/20,0
40003,Alfalfa,Oklahoma,5702,2/27/20,0
40003,Alfalfa,Oklahoma,5702,2/28/20,0
40003,Alfalfa,Oklahoma,5702,2/29/20,0
